Cost Wise Details - July,,,
,Original Approved Cost (in cr.),Revised Cost (in cr.),Cumulative Expenditure(in cr.)
,,,
,"? 33,70,138","? 37,10,642","? 19,26,100"
Cost Wise Details - June,,,
,"? 35,61,721","? 40,54,473","? 21,96,664"
,,,
Cost Wise Details - May,,,
,"? 37,09,725","? 42,49,554","? 21,81,683"
,,,
Cost Wise Details - April,,,
,"? 37,12,662","? 42,78,402","? 20,36,107"
,,,
Cost Wise Details - March,,,
,"? 35,88,861","? 41,50,159","? 19,92,964"
,,,
Cost Wise Details - Feb,,,
,"? 36,32,088","? 41,98,684","? 19,71,456"
