Physical Progress-July,,,,
Sr.No.,Physical Progress slab,Project Count,Original (Revised),Expenditure
,(%),(in no.),Cost (in cr.),Cost (in cr.)
1,0-10,235,520679.96 (523656.51),36962.64
2,20-30,110,333559.66 (337252.14),40496.07
3,20-30,116,176119.12 (175266.22),41574.28
4,30-40,106,222528.44 (218799.28),56618.77
5,40-50,112,180353.9 (191728.69),76767.11
6,50-60,127,197225.98 (218011.58),103958.02
7,60-70,121,259592.16 (268577.11),186387
8,70-80,153,216613.34 (265994.58),176396.56
9,80-90,209,349302.72 (443927.17),307776.97
10,90-100,425,858772.7 (1007796.77),855181.8
11,100,61,55390.24 (59631.5),43980.35
,,,,
Physical Progress-June,,,,
1,0-10,251,556141.72 (555331.67),33314.82
2,20-30,118,315818.51 (320478.33),38230.58
3,20-30,100,188781.29 (189709.92),39556.01
4,30-40,126,252288.51 (251018.98),64166.78
5,40-50,110,180417.75 (180932.95),77332.49
6,50-60,129,205297.4 (226268.94),104613.2
7,60-70,127,277915.99 (284943.1),196018.68
8,70-80,156,274000.21 (308048.03),211714.82
9,80-90,222,372354.57 (465429.28),384049.92
10,90-100,438,875943.41 (1203949.9),997699.45
11,100,70,62761.71 (68362.22),49966.8
,,,,
Physical Progress-May,,,,
1,0-10,273,579493.42 (577931.32),31024.56
2,20-30,124,325378.75 (333731.6),37054.86
3,20-30,114,236240.42 (232284.65),38468.15
4,30-40,109,199503.93 (196967.36),53540.01
5,40-50,111,158712.45 (163829.59),65475.37
6,50-60,126,207085.9 (225632.21),101970.91
7,60-70,132,283553.24 (294126.92),189575.66
8,70-80,160,275640.51 (308941.56),199042.21
9,80-90,228,440408.34 (657396.52),414753.72
10,90-100,504,916212.92 (1164227.6),1005396.22
11,100,106,87494.77 (94484.83),45381.52
,,,,
Physical Progress-April,,,,
1,0-10,263,583075.57 (582366.56),34794.39
2,20-30,127,317668.64 (321832.78),36715.3
3,20-30,116,230319.33 (227753.15),37618.03
4,30-40,114,176933.31 (178976.31),50606.99
5,40-50,112,159105.36 (160386.92),61437.08
6,50-60,127,321989.11 (339429.58),201781.35
7,60-70,130,171749.23 (182225.75),93034.63
8,70-80,164,275707.43 (311631.27),201919.38
9,80-90,228,449416.6 (683948.11),361703.17
10,90-100,503,947105.92 (1204206.73),914361.38
11,100,97,79591.51 (85645.23),42135.79
,,,,
Physical Progress-March,,,,
1,0-10,246,527250.99 (525157.16),33477.02
2,20-30,127,283340.18 (287100.93),32701.1
3,20-30,116,233499.83 (230340.27),38049.1
4,30-40,111,165888.54 (171676.34),48815.73
5,40-50,113,170075.47 (170962.47),64685.15
6,50-60,124,309284.34 (323798.66),192838.85
7,60-70,131,172395.76 (184951.08),95218.23
8,70-80,162,291014.15 (327206.06),211064.46
9,80-90,222,419257.32 (650393.85),333254.12
10,90-100,493,936830.54 (1191881.34),896913.7
11,100,96,80024.05 (86690.88),45946.17
,,,,
Physical Progress-Feb,,,,
1,0-10,291,566383.95 (564502.81),31616.87
2,20-30,127,292504.17 (294890.11),33122.82
3,20-30,125,239194.17 (235596.18),37169.38
4,30-40,98,144451.41 (149584),42500.66
5,40-50,114,237011.7 (237473.8),97176.55
6,50-60,126,246704.72 (264285.95),153583.17
7,60-70,120,155867.48 (169287.35),88878.76
8,70-80,177,314019.74 (354923),227374.08
9,80-90,209,414309.31 (641760.03),323079.99
10,90-100,470,936466.27 (1189954.21),885830.02
11,100,91,85175.4 (96426.84),51123.52
