month,progress_bucket,project_count,original_cost_cr,revised_cost_cr,expenditure_cr,cost_overrun_pct
Feb,0-10,291.0,566383.95,564502.81,31616.87,-0.33213158670896265
Feb,10-20,125.0,239194.17,235596.18,37169.38,-1.5042130834543417
Feb,100,91.0,85175.4,96426.84,51123.52,13.20972956980537
Feb,20-30,127.0,292504.17,294890.11,33122.82,0.8156943540326289
Feb,30-40,98.0,144451.41,149584.0,42500.66,3.553160194144174
Feb,40-50,114.0,237011.7,237473.8,97176.55,0.19496927788795942
Feb,50-60,126.0,246704.72,264285.95,153583.17,7.126426279967409
Feb,60-70,120.0,155867.48,169287.35,88878.76,8.609794679428957
Feb,70-80,177.0,314019.74,354923.0,227374.08,13.025697046943613
Feb,80-90,209.0,414309.31,641760.03,323079.99,54.89877116205765
Feb,90-100,470.0,936466.27,1189954.21,885830.02,27.068560622049947
March,0-10,246.0,527250.99,525157.16,33477.02,-0.3971220613544904
March,10-20,116.0,233499.83,230340.27,38049.1,-1.353131606134359
March,100,96.0,80024.05,86690.88,45946.17,8.331032983209424
March,20-30,127.0,283340.18,287100.93,32701.1,1.327291455804115
March,30-40,111.0,165888.54,171676.34,48815.73,3.488969159653818
March,40-50,113.0,170075.47,170962.47,64685.15,0.5215331758307062
March,50-60,124.0,309284.34,323798.66,192838.85,4.692872584496179
March,60-70,131.0,172395.76,184951.08,95218.23,7.282847327567672
March,70-80,162.0,291014.15,327206.06,211064.46,12.436477745154306
March,80-90,222.0,419257.32,650393.85,333254.12,55.129992721415086
March,90-100,493.0,936830.54,1191881.34,896913.7,27.224859684868946
April,0-10,263.0,583075.57,582366.56,34794.39,-0.12159830328680944
April,10-20,116.0,230319.33,227753.15,37618.03,-1.114183512082982
April,100,97.0,79591.51,85645.23,42135.79,7.605987120988157
April,20-30,127.0,317668.64,321832.78,36715.3,1.3108439032571846
April,30-40,114.0,176933.31,178976.31,50606.99,1.1546723451903997
April,40-50,112.0,159105.36,160386.92,61437.08,0.8054788349053902
April,50-60,127.0,321989.11,339429.58,201781.35,5.416478215676309
April,60-70,130.0,171749.23,182225.75,93034.63,6.099893431836631
April,70-80,164.0,275707.43,311631.27,201919.38,13.029696007829758
April,80-90,228.0,449416.6,683948.11,361703.17,52.185769284000635
April,90-100,503.0,947105.92,1204206.73,914361.38,27.145940551189874
May,0-10,273.0,579493.42,577931.32,31024.56,-0.26956302627216944
May,10-20,114.0,236240.42,232284.65,38468.15,-1.6744679001163383
May,100,106.0,87494.77,94484.83,45381.52,7.98911752096725
May,20-30,124.0,325378.75,333731.6,37054.86,2.567116014798132
May,30-40,109.0,199503.93,196967.36,53540.01,-1.2714386127631707
May,40-50,111.0,158712.45,163829.59,65475.37,3.2241579031764585
May,50-60,126.0,207085.9,225632.21,101970.91,8.955853585396206
May,60-70,132.0,283553.24,294126.92,189575.66,3.728992833938344
May,70-80,160.0,275640.51,308941.56,199042.21,12.081333763313667
May,80-90,228.0,440408.34,657396.52,414753.72,49.269770867645235
May,90-100,504.0,916212.92,1164227.6,1005396.22,27.069546236043042
June,0-10,251.0,556141.72,555331.67,33314.82,-0.14565531965484088
June,10-20,100.0,188781.29,189709.92,39556.01,0.49190785802978915
June,100,70.0,62761.71,68362.22,49966.8,8.923450301146993
June,20-30,118.0,315818.51,320478.33,38230.58,1.4754739992915573
June,30-40,126.0,252288.51,251018.98,64166.78,-0.5032056354845486
June,40-50,110.0,180417.75,180932.95,77332.49,0.285559486247895
June,50-60,129.0,205297.4,226268.94,104613.2,10.215199997661934
June,60-70,127.0,277915.99,284943.1,196018.68,2.5285015086753324
June,70-80,156.0,274000.21,308048.03,211714.82,12.426202155100539
June,80-90,222.0,372354.57,465429.28,384049.92,24.996258270712246
June,90-100,438.0,875943.41,1203949.9,997699.45,37.446082276022814
July,0-10,235.0,520679.96,523656.51,36962.64,0.5716659423573721
July,10-20,116.0,176119.12,175266.22,41574.28,-0.4842745069359842
July,100,61.0,55390.24,59631.5,43980.35,7.657052939290391
July,20-30,110.0,333559.66,337252.14,40496.07,1.1069923743176977
July,30-40,106.0,222528.44,218799.28,56618.77,-1.6758127635281153
July,40-50,112.0,180353.9,191728.69,76767.11,6.3069276572339215
July,50-60,127.0,197225.98,218011.58,103958.02,10.53897666017427
July,60-70,121.0,259592.16,268577.11,186387.0,3.4611792590346266
July,70-80,153.0,216613.34,265994.58,176396.56,22.796952394529356
July,80-90,209.0,349302.72,443927.17,307776.97,27.089525669883134
July,90-100,425.0,858772.7,1007796.77,855181.8,17.35314478441153
