rank,sector,project_count,latest_expenditure,original_cost,anticipated_cost,cost_overrun_pct
1,Roads & Highways,993,460544.81,945370.67,961717.26,1.73
2,Railways,192,461968.46,469207.22,643472.79,37.14
3,Coal,115,52368.66,184577.77,182551.43,-1.1
4,Oil & Gas,91,204670.66,362394.1,394917.26,8.97
5,Transmission & Distribution,63,68896.68,197390.82,203354.39,3.02
6,Healthcare,44,12038.92,23349.5,28174.66,20.66
7,Electricity Generation,39,146799.71,389213.86,439435.72,12.9
8,Education,31,9209.81,16072.15,15585.01,-3.03
9,Telecommunication,31,102879.15,207194.71,133825.11,-35.41
10,Water Resources,30,140510.51,96487.38,197109.95,104.29
11,Urban Public Transport,30,178627.24,320872.37,339476.05,5.8
12,Steel,26,12876.92,24624.69,28206.53,14.55
13,Aviation & Aviation Infrastructure,25,11586.47,21345.07,22771.55,6.68
14,Waste & Water,23,4588.48,7789.67,7888.95,1.27
15,Real Estate,15,16984.69,54229.87,54296.02,0.12
16,Energy Storage,12,23048.58,25151.96,28440.82,13.08
17,Metals & Mining,6,7692.85,9689.36,13843.37,42.87
18,Shipping,4,5245.77,7572.5,7613.11,0.54
19,Construction,2,287.63,899.37,899.37,0.0
20,"Tourism, Hospitality & Wellness",1,656.38,573.0,1238.05,116.06
21,Inland Waterways,1,4187.19,5369.18,5061.15,-5.74
22,Logistics Infrastructure,1,430.0,763.0,763.0,0.0
