month,state,project_count,original_cost_cr,revised_cost_cr,expenditure_cr,cost_overrun_pct
Feb,Andaman & Nicobar,4,863.85,1291.36,0.0,49.4889158997511
March,Andaman & Nicobar,4,863.85,1291.36,0.0,49.4889158997511
April,Andaman & Nicobar,4,863.85,1291.36,0.0,49.4889158997511
May,Andaman & Nicobar,4,863.85,1311.48,37.35,51.818023962493484
June,Andaman & Nicobar,6,62617.98,189956.61,49254.19,203.35793329647487
July,Andaman & Nicobar,9,112782.54,53907.01,79168.67,-52.20269910573037
Feb,Andhra Pradesh,141,207321.0,260802.22,135941.47,25.79633515176948
March,Andhra Pradesh,138,211024.61,264097.7,143210.64,25.150189828570248
April,Andhra Pradesh,142,218753.69,271824.5,146693.06,24.260532473760783
May,Andhra Pradesh,143,228642.93,278504.38,146835.88,21.80756256053927
June,Andhra Pradesh,128,277158.69,453184.41,194665.66,63.51080675117925
July,Andhra Pradesh,119,283186.58,272612.62,195586.79,-3.7339198771354276
Feb,Arunachal Pradesh,22,66941.63,91921.74,47744.71,37.31625596807248
March,Arunachal Pradesh,22,66941.63,91921.74,48506.43,37.31625596807248
April,Arunachal Pradesh,25,89510.4,114490.51,49213.84,27.907494548119548
May,Arunachal Pradesh,25,89510.4,113511.64,49441.08,26.81391212641213
June,Arunachal Pradesh,27,151477.22,302369.46,99006.4,99.6138165197381
July,Arunachal Pradesh,28,191374.31,156136.84,123875.42,-18.412852801402654
Feb,Assam,89,120747.03,156799.83,98670.14,29.85812570296759
March,Assam,88,120333.35,156431.72,100535.52,29.99864127442641
April,Assam,90,122133.56,158231.93,102650.67,29.556470801309644
May,Assam,88,121578.03,160340.31,103212.42,31.88263537417081
June,Assam,85,180719.01,346397.51,154385.16,91.67740571398659
July,Assam,76,203460.11,189628.59,167803.92,-6.798148295506176
Feb,Bihar,125,240033.81,249863.59,96430.33,4.095164760331055
March,Bihar,129,246061.51,256634.85,102049.23,4.2970312585662
April,Bihar,133,257120.33,267926.01,105218.06,4.202577057986828
May,Bihar,139,258849.5,269682.21,170070.61,4.18494530605623
June,Bihar,128,305608.68,445838.21,226732.2,45.88532302158435
