project_id,month,snapshot_date,physical_progress_pct,financial_progress_pct,cumulative_expenditure,revised_cost,cost_overrun_to_date_pct,revised_end_date,schedule_slip_months
PRJ-0001,Feb,2026-02-15,8.47,8.91,25816.07,413885.41,42.87,2031-12-16,25.21
PRJ-0001,March,2026-03-15,16.93,18.96,54921.75,411417.48,42.02,2031-09-16,22.05
PRJ-0001,April,2026-04-15,25.4,22.3,64600.65,393749.8,35.92,2031-07-16,20.37
PRJ-0001,May,2026-05-15,33.86,31.9,92404.67,379710.23,31.07,2031-08-16,20.6
PRJ-0001,June,2026-06-15,42.33,39.85,115456.45,416878.77,43.9,2031-08-16,20.97
PRJ-0001,July,2026-07-15,50.8,55.19,159891.85,283476.81,-2.15,2030-05-16,6.41
PRJ-0002,Feb,2026-02-15,9.41,6.89,54066.92,961991.27,22.63,2034-09-10,16.68
PRJ-0002,March,2026-03-15,18.83,18.25,143148.02,944362.6,20.39,2034-06-10,14.44
PRJ-0002,April,2026-04-15,28.24,24.57,192715.74,952464.84,21.42,2035-02-10,21.73
PRJ-0002,May,2026-05-15,37.65,37.94,297610.53,924416.67,17.84,2034-03-10,11.14
PRJ-0002,June,2026-06-15,47.06,51.54,404316.22,1321430.5,68.45,2035-11-10,30.9
PRJ-0002,July,2026-07-15,56.48,57.32,449636.46,714473.64,-8.92,2033-04-10,0.0
PRJ-0003,Feb,2026-02-15,8.26,13.11,262198.1,2254386.61,12.72,2034-01-27,17.68
PRJ-0003,March,2026-03-15,16.52,17.72,354459.0,2190077.15,9.5,2033-10-27,15.38
PRJ-0003,April,2026-04-15,24.78,24.74,494869.86,2183239.4,9.16,2033-08-27,12.78
PRJ-0003,May,2026-05-15,33.03,25.62,512496.68,2224092.52,11.2,2033-06-27,11.31
PRJ-0003,June,2026-06-15,41.29,40.7,813991.25,2511494.11,25.57,2033-10-27,14.87
PRJ-0003,July,2026-07-15,49.55,49.39,987827.95,2030645.21,1.53,2033-02-27,7.48
PRJ-0004,Feb,2026-02-15,24.41,24.57,8505.35,43569.83,25.86,2033-11-24,20.04
PRJ-0004,March,2026-03-15,48.82,40.93,14167.6,41837.95,20.86,2033-05-24,13.99
PRJ-0004,April,2026-04-15,73.23,73.91,25586.81,42129.28,21.7,2033-01-24,9.88
PRJ-0004,May,2026-05-15,97.64,100.0,34617.63,41521.15,19.94,2032-11-24,8.23
PRJ-0004,June,2026-06-15,100.0,91.57,31699.1,50364.29,45.49,2033-08-24,17.46
PRJ-0004,July,2026-07-15,100.0,100.0,34617.63,35820.59,3.47,2032-03-24,0.0
PRJ-0005,Feb,2026-02-15,13.44,16.43,196830.32,1399245.1,16.82,2033-06-15,16.39
PRJ-0005,March,2026-03-15,26.89,28.55,341919.09,1384635.51,15.6,2033-05-15,15.39
PRJ-0005,April,2026-04-15,40.33,41.21,493601.72,1396419.94,16.58,2033-02-15,12.45
PRJ-0005,May,2026-05-15,53.77,50.17,600953.93,1407514.99,17.51,2033-01-15,10.5
PRJ-0005,June,2026-06-15,67.22,70.73,847247.41,1565090.61,30.66,2033-02-15,11.67
PRJ-0005,July,2026-07-15,80.66,72.51,868530.16,1227227.29,2.46,2032-05-15,3.25
PRJ-0006,Feb,2026-02-15,7.43,10.12,117023.72,1616220.32,39.75,2037-01-03,25.97
PRJ-0006,March,2026-03-15,14.86,14.19,164060.48,1566124.23,35.42,2036-12-03,24.7
PRJ-0006,April,2026-04-15,22.29,16.7,193169.16,1537623.21,32.95,2036-09-03,22.17
PRJ-0006,May,2026-05-15,29.72,35.37,409068.76,1483864.45,28.3,2036-07-03,20.39
PRJ-0006,June,2026-06-15,37.15,37.78,436929.79,1878370.93,62.42,2037-04-03,28.97
PRJ-0006,July,2026-07-15,44.58,43.1,498434.83,1157519.75,0.09,2035-06-03,7.15
PRJ-0007,Feb,2026-02-15,10.52,13.44,212567.53,1771425.27,12.01,2031-12-02,18.56
PRJ-0007,March,2026-03-15,21.04,14.54,229931.22,1820069.24,15.09,2031-09-02,16.2
PRJ-0007,April,2026-04-15,31.56,29.74,470298.06,1785975.41,12.93,2031-06-02,12.94
PRJ-0007,May,2026-05-15,42.09,43.15,682468.16,1683609.9,6.46,2030-12-02,7.08
PRJ-0007,June,2026-06-15,52.61,46.36,733231.46,2117844.19,33.91,2031-12-02,18.64
PRJ-0007,July,2026-07-15,63.13,60.0,948847.76,1459019.91,-7.74,2030-05-02,0.0
PRJ-0008,Feb,2026-02-15,6.41,2.11,198.06,12006.06,28.0,2035-10-12,19.92
PRJ-0008,March,2026-03-15,12.83,15.24,1429.52,11967.73,27.59,2035-10-12,19.86
PRJ-0008,April,2026-04-15,19.24,14.6,1369.41,11609.86,23.78,2035-08-12,18.08
PRJ-0008,May,2026-05-15,25.66,23.78,2230.35,11272.57,20.18,2035-07-12,16.86
PRJ-0008,June,2026-06-15,32.07,34.11,3199.55,12222.11,30.31,2035-10-12,19.86
PRJ-0008,July,2026-07-15,38.49,43.25,4056.51,9411.17,0.34,2034-03-12,1.4
PRJ-0009,Feb,2026-02-15,2.1,0.0,0.0,228940.35,44.36,2033-08-15,29.53
PRJ-0009,March,2026-03-15,4.2,0.0,0.0,221223.2,39.49,2033-02-15,24.15
PRJ-0009,April,2026-04-15,6.29,9.76,15475.85,213559.53,34.66,2033-03-15,24.84
PRJ-0009,May,2026-05-15,8.39,6.78,10747.26,205027.22,29.28,2032-10-15,19.51
PRJ-0009,June,2026-06-15,10.49,5.09,8069.69,247349.5,55.96,2033-12-15,33.54
PRJ-0009,July,2026-07-15,12.59,7.94,12590.27,175676.68,10.77,2032-03-15,12.9
PRJ-0010,Feb,2026-02-15,1.89,0.0,0.0,1567228.6,30.51,2032-10-12,20.95
PRJ-0010,March,2026-03-15,3.77,0.29,3446.02,1508949.47,25.66,2033-02-12,24.53
PRJ-0010,April,2026-04-15,5.66,6.64,79725.57,1455003.92,21.17,2032-04-12,15.18
PRJ-0010,May,2026-05-15,7.54,8.4,100927.86,1381450.35,15.04,2032-03-12,14.31
PRJ-0010,June,2026-06-15,9.43,4.62,55463.7,2098706.35,74.77,2034-01-12,36.47
PRJ-0010,July,2026-07-15,11.32,11.97,143772.16,861800.9,-28.23,2031-01-12,0.0
PRJ-0011,Feb,2026-02-15,18.89,17.17,137799.52,1049828.9,30.78,2032-06-26,22.1
PRJ-0011,March,2026-03-15,37.78,36.55,293395.13,1024240.03,27.59,2032-01-26,17.33
PRJ-0011,April,2026-04-15,56.66,51.3,411825.76,1022519.91,27.38,2031-12-26,16.32
PRJ-0011,May,2026-05-15,75.55,76.42,613463.16,946775.71,17.94,2031-08-26,12.36
PRJ-0011,June,2026-06-15,94.44,95.12,763586.9,1155617.11,43.96,2031-11-26,14.93
PRJ-0011,July,2026-07-15,100.0,98.99,794660.97,805516.63,0.34,2030-08-26,0.0
PRJ-0012,Feb,2026-02-15,4.67,6.85,16336.57,286238.63,19.97,2034-11-14,18.89
PRJ-0012,March,2026-03-15,9.33,9.68,23103.08,286733.33,20.18,2034-11-14,18.73
PRJ-0012,April,2026-04-15,14.0,13.63,32523.16,280560.96,17.59,2034-07-14,15.42
PRJ-0012,May,2026-05-15,18.66,16.86,40215.82,282792.59,18.53,2034-07-14,14.91
PRJ-0012,June,2026-06-15,23.33,24.34,58064.87,311220.89,30.44,2034-09-14,17.05
PRJ-0012,July,2026-07-15,28.0,27.62,65894.6,249276.21,4.48,2033-12-14,7.99
PRJ-0013,Feb,2026-02-15,20.21,26.57,10460.62,53816.28,36.69,2031-04-27,22.74
PRJ-0013,March,2026-03-15,40.42,37.78,14872.85,52975.9,34.56,2031-01-27,20.41
PRJ-0013,April,2026-04-15,60.63,60.69,23892.16,52433.55,33.18,2030-08-27,14.76
PRJ-0013,May,2026-05-15,80.84,80.56,31715.47,51373.96,30.49,2030-03-27,10.3
PRJ-0013,June,2026-06-15,100.0,100.0,39369.97,60043.64,52.51,2030-06-27,13.18
PRJ-0013,July,2026-07-15,100.0,98.09,38617.09,40449.03,2.74,2029-09-27,3.58
PRJ-0014,Feb,2026-02-15,1.18,0.0,0.0,1147740.76,34.88,2034-04-15,21.31
PRJ-0014,March,2026-03-15,1.45,4.09,34823.24,1075462.46,26.39,2034-05-15,22.06
PRJ-0014,April,2026-04-15,3.54,0.0,0.0,1052869.46,23.73,2034-04-15,21.41
PRJ-0014,May,2026-05-15,2.11,6.74,57383.79,968561.22,13.82,2034-05-15,22.3
PRJ-0014,June,2026-06-15,2.84,5.17,44028.96,1305000.22,53.36,2034-12-15,29.35
