project_id,sector,state,sanctioned_cost,sanctioned_date,original_end_date,duration_months,target_cost_overrun_pct,real_state_overrun_july,real_sector_overrun_pct,real_state_drift_pp_month
PRJ-0001,Oil & Gas,Rajasthan,289698.08,2026-02-16,2029-11-16,45,0.767,4.92,8.97,-7.926
PRJ-0002,Roads & Highways,Punjab,784451.64,2026-02-10,2033-04-10,86,-15.971,-29.625,1.73,-7.508
PRJ-0003,Roads & Highways,Gujarat,2000000.0,2026-02-27,2032-07-27,77,-1.04,8.533,1.73,-3.068
PRJ-0004,Energy Storage,Jharkhand,34617.63,2026-02-24,2032-03-24,73,3.281,-17.585,13.08,-4.6
PRJ-0005,Roads & Highways,Uttar Pradesh,1197801.22,2026-02-15,2032-02-15,72,0.98,2.185,1.73,-3.086
PRJ-0006,Roads & Highways,Assam,1156518.37,2026-02-03,2034-11-03,105,0.607,-6.798,1.73,-7.331
PRJ-0007,Roads & Highways,Karnataka,1581498.37,2026-02-02,2030-05-02,51,-7.034,-17.416,1.73,-5.504
PRJ-0008,Aviation & Aviation Infrastructure,Gujarat,9379.6,2026-02-12,2034-02-12,96,5.778,8.533,6.68,-3.068
PRJ-0009,Oil & Gas,Andhra Pradesh,158595.26,2026-02-15,2031-02-15,60,6.719,-3.734,8.97,-5.906
PRJ-0010,Roads & Highways,Himachal Pradesh,1200824.21,2026-02-12,2031-01-12,59,-22.255,-32.81,1.73,-11.046
PRJ-0011,Roads & Highways,Andhra Pradesh,802754.75,2026-02-26,2030-08-26,54,1.242,-3.734,1.73,-5.906
PRJ-0012,Transmission & Distribution,Uttar Pradesh,238588.54,2026-02-14,2033-04-14,86,2.002,2.185,3.02,-3.086
PRJ-0013,Education,Haryana,39369.97,2026-02-27,2029-05-27,39,-0.07,8.788,-3.03,-7.806
PRJ-0014,Roads & Highways,Telangana,850936.83,2026-02-15,2032-07-15,77,-18.192,-22.597,1.73,-9.117
PRJ-0015,Coal,Telangana,198420.42,2026-02-02,2031-09-02,67,-16.654,-22.597,-1.1,-9.117
PRJ-0016,Urban Public Transport,Odisha,191220.32,2026-02-07,2031-08-07,66,3.088,-14.368,5.8,-4.448
PRJ-0017,Roads & Highways,Chhattisgarh,1342362.08,2026-02-06,2035-05-06,111,-9.819,-22.042,1.73,-5.836
PRJ-0018,Roads & Highways,Karnataka,613368.51,2026-02-08,2032-01-08,71,-2.871,-17.416,1.73,-5.504
PRJ-0019,Roads & Highways,Gujarat,856626.88,2026-02-12,2030-01-12,47,0.854,8.533,1.73,-3.068
PRJ-0020,Railways,Uttar Pradesh,269441.06,2026-02-21,2033-07-21,89,15.212,2.185,37.14,-3.086
PRJ-0021,Roads & Highways,Karnataka,1283916.55,2026-02-15,2032-06-15,76,-5.782,-17.416,1.73,-5.504
PRJ-0022,Roads & Highways,Jharkhand,798457.17,2026-02-09,2034-04-09,98,2.352,-17.585,1.73,-4.6
PRJ-0023,Roads & Highways,West Bengal,579832.1,2026-02-01,2032-10-01,80,-17.93,-20.715,1.73,-5.985
PRJ-0024,Oil & Gas,Karnataka,237861.34,2026-02-01,2031-04-01,62,-4.856,-17.416,8.97,-5.504
PRJ-0025,Railways,Jharkhand,327648.25,2026-02-20,2030-10-20,56,8.742,-17.585,37.14,-4.6
PRJ-0026,Roads & Highways,Maharashtra,910676.7,2026-02-12,2031-09-12,67,9.239,12.366,1.73,-2.098
PRJ-0027,Transmission & Distribution,West Bengal,88679.9,2026-02-23,2030-04-23,50,-16.619,-20.715,3.02,-5.985
PRJ-0028,Roads & Highways,Rajasthan,1154562.75,2026-02-15,2033-02-15,84,11.132,4.92,1.73,-7.926
PRJ-0029,Roads & Highways,Jharkhand,524216.06,2026-02-03,2033-11-03,93,-16.797,-17.585,1.73,-4.6
PRJ-0030,Roads & Highways,Bihar,596436.17,2026-02-27,2029-01-27,35,4.526,-13.584,1.73,-3.536
